Id,SalePrice
1461,59873.14171519782
1462,162753.79141900392
1463,162753.79141900392
1464,162753.79141900392
1465,162753.79141900392
1466,162753.79141900392
1467,162753.79141900392
1468,162753.79141900392
1469,162753.79141900392
1470,59873.14171519782
1471,162753.79141900392
1472,59873.14171519782
1473,59873.14171519782
1474,59873.14171519782
1475,59873.14171519782
1476,162753.79141900392
1477,162753.79141900392
1478,162753.79141900392
1479,162753.79141900392
1480,162753.79141900392
1481,162753.79141900392
1482,162753.79141900392
1483,162753.79141900392
1484,162753.79141900392
1485,162753.79141900392
1486,162753.79141900392
1487,162753.79141900392
1488,162753.79141900392
1489,162753.79141900392
1490,162753.79141900392
1491,162753.79141900392
1492,59873.14171519782
1493,59873.14171519782
1494,162753.79141900392
1495,162753.79141900392
1496,162753.79141900392
1497,162753.79141900392
1498,59873.14171519782
1499,59873.14171519782
1500,59873.14171519782
1501,162753.79141900392
1502,162753.79141900392
1503,162753.79141900392
1504,162753.79141900392
1505,162753.79141900392
1506,162753.79141900392
1507,162753.79141900392
1508,162753.79141900392
1509,59873.14171519782
1510,59873.14171519782
1511,59873.14171519782
1512,59873.14171519782
1513,59873.14171519782
1514,59873.14171519782
1515,162753.79141900392
1516,59873.14171519782
1517,59873.14171519782
1518,59873.14171519782
1519,162753.79141900392
1520,59873.14171519782
1521,59873.14171519782
1522,59873.14171519782
1523,59873.14171519782
1524,59873.14171519782
1525,59873.14171519782
1526,59873.14171519782
1527,59873.14171519782
1528,59873.14171519782
1529,59873.14171519782
1530,59873.14171519782
1531,59873.14171519782
1532,59873.14171519782
1533,59873.14171519782
1534,59873.14171519782
1535,59873.14171519782
1536,59873.14171519782
1537,59873.14171519782
1538,59873.14171519782
1539,59873.14171519782
1540,59873.14171519782
1541,59873.14171519782
1542,59873.14171519782
1543,162753.79141900392
1544,59873.14171519782
1545,59873.14171519782
1546,59873.14171519782
1547,59873.14171519782
1548,59873.14171519782
1549,59873.14171519782
1550,59873.14171519782
1551,59873.14171519782
1552,59873.14171519782
1553,59873.14171519782
1554,59873.14171519782
1555,59873.14171519782
1556,59873.14171519782
1557,59873.14171519782
1558,59873.14171519782
1559,59873.14171519782
1560,59873.14171519782
1561,59873.14171519782
1562,59873.14171519782
1563,59873.14171519782
1564,162753.79141900392
1565,59873.14171519782
1566,162753.79141900392
1567,59873.14171519782
1568,162753.79141900392
1569,59873.14171519782
1570,59873.14171519782
1571,59873.14171519782
1572,59873.14171519782
